labels,0,1,2,3,4,5,6,7,8,9
0,-4.8793906433173,1.4450722370960984,2.562749524865077,0.4752660884924006,4.4533690702739115,3.6909413914237508,-1.106084497969865,-3.814442871671046,0.5701670624691414,-1.4835455247214417
1,2.734555688704558,0.47691086672437494,-2.3808399232402917,-0.10067608144312415,-2.456840038060205,-0.513856353740443,1.7446143055096819,0.5775269831700118,-0.1629782732830961,-1.573564441910721
2,1.1248678750745622,1.2905374906701068,-2.099594345811404,-0.0892756041542779,-0.3084890861044106,0.9240111276748191,0.7156591264659458,-0.13423880831944304,-1.3541559378481816,-3.648271973108283
3,2.993553446538395,2.388847038237432,-1.7149361271418033,1.16471364284598,-1.5589906134950051,1.0269091209191055,-0.40392517407527195,1.1793675299325703,1.2074337779088773,-0.1932453128476332
4,1.660483596901557,2.48440792039272,-1.3082546782051931,2.2614204261475206,-2.584469427755198,-1.016428105322558,-0.12902386684383738,2.346124133936426,0.18479889307384934,1.2088817222879473
5,2.135733730720171,-0.3095286849986491,-1.7129184791380418,-2.2279920663601045,-1.2174850012597116,0.14621901752110028,1.9245506831171069,-0.5531921445722651,0.020914924856030803,-2.53956392051254
6,0.8203305945746696,0.5259360137271654,-0.9231086370012385,0.9875671580768322,-0.9753203526155589,-0.9148265173254557,0.4217742615373476,0.06247702940756267,-0.7290037216730638,-0.7424187046178332
7,0.8026209427239878,-0.49225846902573156,0.11193361427807645,-0.2660936489100904,-0.22796822493255792,0.5139590117871212,0.3491645000536336,0.6151352880333179,-0.19507730860984487,1.2394400731930926
8,1.7802164114915882,-0.0961398259585966,-0.3138147486257528,-1.4793573049292736,0.09698496709156167,0.5637439489986334,0.4702108969486821,-0.27031681972468624,-1.36826558886163,-0.5453718455381763
9,1.8262376314323658,0.6918529140137717,0.06743262311523737,-0.7183476569014176,-0.9459523887626256,-0.055594495924370955,2.1631719573517123,1.37993317854754,-1.6324666864454083,2.2632556479200745
10,3.0197285519829613,1.2417026146145596,-1.5197226131880197,1.2731463923684319,-0.9360939156626793,1.1429533774033822,-0.4777052366611458,0.7226938825174795,-2.7806925311815966,0.9779647552981319
