   ,left,right,mean              ,std_dev            ,interval_min      ,interval_max
0  ,146 ,101  ,1.0               ,0.0                ,1.0               ,1.0
1  ,53  ,149  ,2.2857142857142856,0.45175395145262565,1.8885642021558884,2.6828643692726826
2  ,153 ,61   ,2.2857142857142856,0.880630571852711  ,1.511526248020807 ,3.0599023234077642
3  ,31  ,30   ,1.1428571428571428,0.34992710611188266,0.8352260109438314,1.4504882747704542
4  ,72  ,5    ,1.0               ,0.0                ,1.0               ,1.0
5  ,55  ,199  ,1.2857142857142858,0.45175395145262565,0.8885642021558886,1.682864369272683
6  ,71  ,74   ,1.4285714285714286,0.7284313590846835 ,0.7881861608902079,2.0689566962526493
7  ,118 ,240  ,1.1428571428571428,0.3499271061118826 ,0.8352260109438314,1.4504882747704542
8  ,27  ,123  ,1.7142857142857142,0.6998542122237652 ,1.0990234504590917,2.3295479781123367
9  ,47  ,62   ,1.2857142857142858,0.45175395145262565,0.8885642021558886,1.682864369272683
10 ,4   ,100  ,1.0               ,0.0                ,1.0               ,1.0
11 ,152 ,126  ,2.2857142857142856,0.6998542122237652 ,1.6704520218876628,2.9009765495409083
12 ,136 ,49   ,1.1428571428571428,0.34992710611188266,0.8352260109438314,1.4504882747704542
13 ,9   ,144  ,2.0               ,0.7559289460184544 ,1.3354408011040424,2.6645591988959576
14 ,148 ,118  ,1.1428571428571428,0.3499271061118826 ,0.8352260109438314,1.4504882747704542
15 ,26  ,117  ,1.1428571428571428,0.34992710611188266,0.8352260109438314,1.4504882747704542
16 ,148 ,57   ,3.4285714285714284,0.4948716593053935 ,2.993515309611437 ,3.86362754753142
17 ,223 ,215  ,2.2857142857142856,0.880630571852711  ,1.511526248020807 ,3.0599023234077642
18 ,119 ,176  ,1.0               ,0.0                ,1.0               ,1.0
19 ,55  ,17   ,1.0               ,0.0                ,1.0               ,1.0
20 ,134 ,230  ,1.2857142857142858,0.6998542122237652 ,0.6704520218876632,1.9009765495409083
21 ,65  ,131  ,1.8571428571428572,0.8329931278350429 ,1.1248342868260117,2.5894514274597027
22 ,113 ,117  ,1.0               ,0.0                ,1.0               ,1.0
23 ,81  ,248  ,1.1428571428571428,0.34992710611188266,0.8352260109438314,1.4504882747704542
24 ,147 ,5    ,1.1428571428571428,0.3499271061118826 ,0.8352260109438314,1.4504882747704542
25 ,90  ,22   ,1.1428571428571428,0.3499271061118826 ,0.8352260109438314,1.4504882747704542
26 ,89  ,87   ,1.4285714285714286,0.7284313590846836 ,0.7881861608902078,2.0689566962526493
27 ,173 ,94   ,2.0               ,0.9258200997725514 ,1.186084529416073 ,2.813915470583927
28 ,156 ,56   ,1.5714285714285714,0.7284313590846836 ,0.9310433037473506,2.211813839109792
29 ,123 ,209  ,1.4285714285714286,0.7284313590846835 ,0.7881861608902079,2.0689566962526493
30 ,4   ,11   ,1.2857142857142858,0.6998542122237652 ,0.6704520218876632,1.9009765495409083
31 ,22  ,44   ,1.2857142857142858,0.6998542122237652 ,0.6704520218876632,1.9009765495409083
32 ,136 ,128  ,1.4285714285714286,0.7284313590846835 ,0.7881861608902079,2.0689566962526493
33 ,238 ,41   ,1.4285714285714286,0.4948716593053935 ,0.9935153096114372,1.86362754753142
34 ,55  ,126  ,1.1428571428571428,0.34992710611188266,0.8352260109438314,1.4504882747704542
35 ,199 ,100  ,1.5714285714285714,0.7284313590846835 ,0.9310433037473507,2.211813839109792
36 ,44  ,50   ,3.2857142857142856,0.4517539514526256 ,2.8885642021558886,3.6828643692726826
37 ,173 ,158  ,2.7142857142857144,0.880630571852711  ,1.9400976765922358,3.488473751979193
38 ,59  ,34   ,3.4285714285714284,0.49487165930539345,2.993515309611437 ,3.86362754753142
39 ,88  ,187  ,1.8571428571428572,0.8329931278350429 ,1.1248342868260117,2.5894514274597027
40 ,105 ,128  ,1.6666666666666667,0.74535599249993   ,1.011402459789791 ,2.3219308735435424
41 ,85  ,146  ,1.5               ,0.5                ,1.0604354070602464,1.9395645929397536
42 ,52  ,42   ,1.1666666666666667,0.3726779962499649 ,0.839034563228229 ,1.4942987701051045
43 ,214 ,117  ,3.0               ,0.5773502691896257 ,2.49243452788001  ,3.50756547211999
44 ,174 ,215  ,1.6666666666666667,0.4714045207910317 ,1.252241194083728 ,2.0810921392496056
45 ,44  ,114  ,1.4               ,0.4898979485566356 ,0.9693164153213641,1.8306835846786358
46 ,90  ,152  ,1.8               ,0.7483314773547883 ,1.1421199575450762,2.457880042454924
47 ,36  ,239  ,1.2               ,0.4000000000000001 ,0.848348325648197 ,1.551651674351803
48 ,202 ,111  ,1.2               ,0.4                ,0.8483483256481971,1.551651674351803
49 ,26  ,3    ,1.0               ,0.0                ,1.0               ,1.0
50 ,42  ,115  ,1.8               ,0.7483314773547883 ,1.1421199575450762,2.457880042454924
51 ,16  ,83   ,1.2               ,0.4000000000000001 ,0.848348325648197 ,1.551651674351803
52 ,73  ,126  ,2.2               ,0.7483314773547882 ,1.5421199575450764,2.8578800424549238
53 ,105 ,57   ,2.8               ,0.7483314773547882 ,2.1421199575450762,3.4578800424549234
54 ,158 ,138  ,2.0               ,0.8944271909999159 ,1.2136829517477494,2.7863170482522506
55 ,134 ,103  ,2.8               ,0.7483314773547882 ,2.1421199575450762,3.4578800424549234
56 ,29  ,11   ,1.2               ,0.4000000000000001 ,0.848348325648197 ,1.551651674351803
57 ,49  ,112  ,1.8               ,0.9797958971132713 ,0.9386328306427285,2.6613671693572716
58 ,159 ,144  ,2.2               ,0.7483314773547882 ,1.5421199575450764,2.8578800424549238
59 ,163 ,239  ,1.2               ,0.4000000000000001 ,0.848348325648197 ,1.551651674351803
60 ,65  ,143  ,1.2               ,0.4000000000000001 ,0.848348325648197 ,1.551651674351803
61 ,127 ,108  ,1.75              ,0.82915619758885   ,1.0210645870467665,2.4789354129532333
62 ,90  ,207  ,1.25              ,0.4330127018922193 ,0.8693258959100075,1.6306741040899926
63 ,141 ,66   ,2.25              ,0.82915619758885   ,1.5210645870467665,2.9789354129532333
64 ,9   ,239  ,1.25              ,0.4330127018922193 ,0.8693258959100075,1.6306741040899926
65 ,88  ,111  ,1.0               ,0.0                ,1.0               ,1.0
66 ,229 ,187  ,1.0               ,0.0                ,1.0               ,1.0
67 ,167 ,223  ,1.0               ,0.0                ,1.0               ,1.0
68 ,98  ,145  ,3.0               ,0.0                ,3.0               ,3.0
69 ,152 ,150  ,1.5               ,0.5                ,1.0604354070602464,1.9395645929397536
70 ,103 ,215  ,1.5               ,0.8660254037844386 ,0.7386517918200151,2.261348208179985
71 ,62  ,26   ,1.25              ,0.4330127018922193 ,0.8693258959100075,1.6306741040899926
72 ,41  ,86   ,1.0               ,0.0                ,1.0               ,1.0
73 ,134 ,3    ,1.0               ,0.0                ,1.0               ,1.0
74 ,98  ,199  ,1.25              ,0.4330127018922193 ,0.8693258959100075,1.6306741040899926
75 ,63  ,27   ,2.0               ,0.7071067811865476 ,1.3783617911255917,2.6216382088744083
76 ,189 ,163  ,1.5               ,0.8660254037844386 ,0.7386517918200151,2.261348208179985
77 ,56  ,68   ,1.5               ,0.5                ,1.0604354070602464,1.9395645929397536
78 ,212 ,75   ,1.5               ,0.8660254037844386 ,0.7386517918200151,2.261348208179985
79 ,151 ,119  ,1.25              ,0.4330127018922193 ,0.8693258959100075,1.6306741040899926
80 ,163 ,36   ,3.0               ,0.0                ,3.0               ,3.0
81 ,229 ,117  ,2.25              ,0.82915619758885   ,1.5210645870467665,2.9789354129532333
